cenario,proporcao_revisao,casos_revisados,captura_exposicao,perda_evitada,legitimos_revisados,taxa_atrito_legitimos,custo_revisao_incremental,custo_atrito_estimado,beneficio_liquido
conservador,0.15,720,0.4837892761394101,36090.67999999999,396,0.09897525618595351,0.0,990.0,35100.67999999999
equilibrado,0.32,1536,0.7347537533512065,54812.630000000005,995,0.24868782804298925,5325.0,2487.5,47000.130000000005
restritivo,0.56,2688,0.8942146112600536,66708.41,2010,0.5023744063984004,13965.0,5025.0,47718.41
