sinal,volume_com_sinal,taxa_exposicao_com_sinal,taxa_exposicao_sem_sinal,risco_relativo,qui_quadrado,p_valor
Evidência incompatível,442,0.38235294117647056,0.1445617255621845,2.644911297852474,163.54113821842236,1.905475903150915e-37
Pedido completo selecionado,855,0.3321637426900585,0.13054499366286437,2.544438766819963,205.87369558564822,1.09181776008829e-46
Recorrência >= 3 em 60 dias,310,0.3774193548387097,0.15189309576837418,2.484769652823763,106.29875394946363,6.341633509104621e-25
Conta ligada a agrupamento,384,0.2890625,0.15579710144927536,1.8553779069767442,45.219004874944396,1.7618700716928086e-11
Loja sem resposta,1950,0.20205128205128206,0.14210526315789473,1.4218423551756887,29.986520182468,4.3506020999939546e-08
